,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
Q_cell_0,12,11,5,20,2,4,8,6,16,2,7,6,3,5,11,5,8,3,8,3,3,1,2,4,4,2,14,1,2,5,14,1,0,3,0,4,4,2,6,7,7,3,2,3,9,5,8,0,3,5,7,2,0,0,2,3,2,10,5,6,2,4,3,5,5,10,4,2,2,3,0,0,5,9,4,3,2,2,0,4,6,2,5,2,0,5,4,4,5,1,4,1,5,2,0,1,0,1,5,2
Q_cell_1,0,0,5,12,3,5,4,4,2,5,8,11,2,10,6,2,2,1,3,3,3,5,3,4,2,3,6,6,4,2,29,5,38,24,16,9,16,10,24,59,3,5,0,4,5,5,3,2,3,5,5,2,3,1,1,2,3,11,0,3,1,2,4,2,10,4,2,3,5,1,4,6,0,2,5,5,1,8,10,4,7,5,5,1,2,2,1,6,3,3,8,3,4,3,0,0,3,3,6,4
Q_cell_2,6,0,4,18,0,1,0,1,4,2,4,9,3,12,8,6,7,2,7,1,5,4,8,7,6,1,5,2,3,4,9,1,0,3,4,3,3,1,1,3,18,12,2,15,12,11,15,14,25,26,6,3,0,0,0,4,10,11,1,9,1,0,3,3,5,3,0,0,4,2,0,0,1,0,7,8,5,9,5,4,6,2,4,4,1,0,2,7,3,4,3,1,1,8,1,0,0,4,8,0
Q_cell_3,5,1,4,6,1,1,7,1,4,6,39,23,12,13,22,9,19,9,43,20,4,2,2,0,6,6,6,1,2,3,6,2,0,1,2,0,3,7,7,7,4,4,1,1,8,6,9,2,6,2,1,5,0,3,4,1,1,12,1,7,1,2,3,8,9,5,7,1,3,0,1,3,2,8,3,6,3,2,3,4,8,2,2,3,2,1,3,1,5,4,1,5,1,2,0,2,1,2,14,3
Q_cell_4,0,1,8,3,0,1,1,0,3,3,4,10,4,11,5,6,9,3,2,0,2,1,4,3,2,1,7,7,1,3,54,3,17,5,3,15,16,4,20,78,8,3,2,5,4,8,1,6,4,11,3,4,2,1,1,2,8,14,1,1,1,1,5,9,5,8,2,2,11,3,0,3,2,5,7,4,3,3,5,0,6,0,4,6,0,6,0,4,5,7,7,3,3,3,2,0,2,4,4,2
Q_cell_5,3,3,6,8,0,0,2,4,3,1,2,5,2,4,6,2,6,2,1,1,5,8,8,1,4,7,9,5,6,3,15,1,3,1,4,7,2,2,2,6,22,12,6,11,11,16,40,28,27,30,1,5,5,4,3,0,3,14,2,7,2,4,6,5,3,10,2,2,8,4,0,2,1,8,10,7,1,3,9,5,5,5,2,3,1,6,4,0,3,2,4,1,7,3,0,1,1,5,11,2
Q_cell_6,2,3,3,6,3,0,3,4,2,1,4,4,2,7,4,1,6,1,1,2,9,0,6,4,2,0,5,5,6,3,22,1,0,1,2,7,7,1,4,1,18,19,1,12,13,12,13,18,35,23,13,10,0,2,3,3,2,4,0,4,5,2,1,4,4,6,5,3,8,4,0,0,2,6,6,3,2,2,8,2,2,2,3,4,2,6,4,5,11,4,5,2,1,1,2,2,3,4,13,1
Q_cell_7,3,2,2,15,0,0,2,1,1,2,9,8,6,7,11,2,6,3,3,1,2,5,3,1,5,0,7,3,2,5,25,1,8,0,4,5,4,1,10,7,30,17,7,15,10,21,28,22,33,33,5,12,3,2,4,0,0,15,1,6,0,1,2,1,4,6,13,2,7,5,0,0,2,5,2,4,4,2,9,3,4,5,2,3,3,4,0,3,5,5,4,3,3,4,6,1,1,2,8,4
Q_cell_8,8,1,7,2,3,0,2,1,2,2,34,40,7,33,46,10,20,10,35,6,1,4,7,0,3,3,20,5,2,5,16,4,3,4,4,2,3,4,5,3,1,2,3,4,3,6,5,1,4,11,4,2,1,2,2,5,2,10,4,9,0,1,1,5,4,7,1,1,1,2,2,0,2,3,4,7,4,4,12,5,6,2,5,1,3,3,4,4,2,8,2,1,2,5,0,1,0,2,5,4
Q_cell_9,6,4,6,2,0,3,8,1,1,0,38,42,6,8,22,13,25,11,41,20,1,0,10,6,4,4,8,1,6,5,20,0,3,1,4,1,2,1,3,12,4,3,1,2,6,4,7,4,5,0,1,5,1,5,1,2,4,12,2,5,3,3,2,3,6,7,6,3,1,1,0,5,0,8,5,6,2,4,4,4,5,2,6,4,0,2,6,1,1,11,9,4,2,5,0,1,1,3,0,1
Q_cell_10,4,5,2,7,2,1,7,2,2,2,18,68,10,21,23,4,31,17,13,21,3,0,4,2,3,5,5,3,7,10,11,2,5,6,4,4,2,1,4,7,5,3,0,3,6,5,1,1,3,10,9,5,3,2,2,1,5,5,5,10,4,4,5,3,3,4,2,3,4,5,1,1,0,7,2,4,1,4,8,5,12,4,1,5,1,7,1,5,9,2,2,3,2,0,1,1,0,5,7,1
Q_cell_11,12,6,10,40,1,5,21,3,9,3,2,10,4,3,6,6,2,2,2,4,3,0,10,1,10,4,10,6,6,10,10,0,4,0,5,1,5,2,4,3,2,3,0,5,8,3,3,5,8,5,8,11,4,2,1,1,3,10,1,3,0,1,2,5,1,7,5,3,8,3,0,1,1,6,10,13,1,1,4,5,6,0,0,4,3,7,1,4,3,3,7,1,4,2,1,0,0,2,5,1
Q_cell_12,5,14,6,19,6,0,11,13,6,5,6,0,7,5,4,2,3,2,7,5,1,1,1,4,9,1,6,4,8,10,14,4,2,5,10,2,5,1,2,7,7,7,2,4,6,6,3,1,0,6,2,5,1,3,5,2,2,2,0,5,1,4,3,6,4,12,2,2,8,3,1,1,2,7,3,11,0,8,2,5,5,6,6,0,2,2,1,3,0,5,6,1,1,1,0,0,0,3,6,4
Q_cell_13,10,14,20,62,5,3,24,11,15,2,3,2,4,10,5,2,3,2,2,4,4,4,6,2,2,5,9,4,1,6,12,3,2,2,12,12,5,2,6,5,6,3,2,3,4,1,4,5,7,7,4,8,2,5,3,1,5,8,5,7,0,3,5,5,16,5,1,0,3,6,3,1,2,5,4,5,2,5,3,1,6,0,7,2,1,2,3,5,6,4,7,0,2,1,1,2,1,3,2,0
Q_cell_14,3,0,2,1,0,0,7,1,4,2,9,24,16,22,25,6,21,11,85,25,4,4,2,3,1,9,3,1,2,4,6,4,3,4,6,5,0,1,1,4,7,5,1,1,4,1,8,7,3,3,5,6,3,4,1,2,2,17,4,6,0,2,1,12,6,9,8,2,5,0,1,4,1,5,10,7,9,0,5,4,0,5,3,2,0,1,0,2,7,3,1,5,3,4,2,2,3,4,6,1
Q_cell_15,22,19,12,36,1,3,12,8,6,6,4,10,4,6,10,3,7,2,7,0,1,1,7,1,4,2,14,5,3,4,17,1,3,2,5,6,10,3,7,9,1,10,2,2,2,1,3,5,6,4,9,11,3,3,2,1,5,11,7,4,1,1,3,8,9,5,5,2,9,1,1,3,2,4,9,6,5,0,8,13,5,7,1,4,1,6,2,3,6,7,8,5,4,2,1,0,3,3,4,1
Q_cell_16,3,0,11,7,1,1,5,5,2,3,5,2,4,3,4,5,3,1,12,4,9,14,41,44,26,12,55,9,24,15,10,2,1,0,4,1,5,0,4,5,5,9,0,3,1,4,7,2,2,6,3,9,2,3,0,0,1,10,4,19,3,2,1,10,8,4,3,3,4,2,1,0,5,4,3,4,6,3,3,1,11,3,8,4,1,10,1,1,4,6,5,2,4,1,0,3,2,1,7,0
Q_cell_17,8,0,0,4,0,1,3,2,5,1,4,11,4,6,4,6,4,3,3,3,3,4,3,1,9,10,8,2,5,8,13,2,4,2,7,4,5,1,3,11,25,2,4,14,15,13,8,30,29,18,3,6,2,1,3,0,3,22,0,6,2,0,3,5,7,2,7,2,2,5,1,2,1,6,11,14,2,6,2,7,3,3,1,3,3,1,2,1,10,3,4,2,0,0,3,1,2,4,8,0
