,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99
R_cell_0,4,4,2,9,1,1,5,1,5,6,42,25,10,11,15,2,16,4,44,6,3,1,0,3,0,4,1,2,4,0,4,4,1,3,1,4,2,1,1,4,6,5,2,5,3,0,1,2,7,2,4,4,0,2,3,0,1,6,5,7,0,0,2,5,4,6,3,1,10,2,0,0,0,2,3,5,2,3,6,2,3,2,3,2,0,2,2,1,7,2,4,0,1,4,0,2,3,5,4,4
R_cell_1,5,1,5,6,3,1,4,2,2,4,1,1,0,3,7,2,1,1,5,2,16,12,33,34,17,9,28,9,8,10,4,4,2,2,4,7,5,2,4,3,3,3,2,4,0,6,7,3,3,4,8,7,0,1,2,2,6,8,2,4,0,2,2,3,2,4,6,3,7,7,1,0,3,6,3,5,1,1,3,0,4,0,3,2,0,2,1,0,1,0,5,5,10,3,1,2,1,0,1,3
R_cell_2,2,2,9,2,1,2,5,1,1,1,28,14,14,10,17,3,31,3,77,9,3,2,8,3,2,6,4,3,5,1,8,5,5,2,1,4,2,3,1,3,13,2,6,4,1,4,5,2,5,4,1,1,1,3,1,1,1,8,4,4,1,3,6,7,0,3,1,1,7,1,0,2,1,5,6,5,3,1,1,5,3,2,2,6,0,1,1,1,3,0,5,1,1,4,2,0,3,1,8,0
R_cell_3,2,2,3,12,0,0,3,2,1,2,6,8,4,7,6,2,1,0,3,5,5,1,3,3,2,1,2,1,6,16,15,2,3,0,5,8,0,2,2,6,38,7,3,10,17,8,21,20,14,10,6,4,0,5,3,1,7,11,3,5,0,5,2,2,4,7,0,3,1,3,1,4,1,7,2,4,1,1,3,0,5,1,2,2,1,6,2,0,2,8,6,1,1,2,0,3,1,0,4,5
R_cell_4,3,2,6,7,1,4,2,8,1,2,4,3,2,10,3,1,1,0,3,3,11,14,32,24,16,11,30,4,14,9,19,4,1,4,4,7,5,0,1,1,3,8,2,5,1,1,6,3,4,3,2,7,0,5,3,0,2,11,1,1,0,4,4,1,3,4,2,1,2,3,2,0,2,2,3,4,2,4,9,2,5,3,1,1,3,3,1,5,4,3,2,1,4,0,1,1,5,3,7,0
R_cell_5,3,6,5,5,1,1,0,1,5,2,29,39,12,14,16,5,16,12,34,11,2,1,7,3,1,3,7,3,2,5,11,5,1,4,6,4,1,1,2,3,6,3,3,4,1,1,4,4,0,4,0,4,1,1,2,3,1,2,2,5,1,1,2,5,1,3,1,2,4,2,1,3,3,2,4,1,2,6,4,0,5,1,1,1,2,7,2,1,3,2,8,1,2,5,1,1,0,0,4,2
R_cell_6,0,2,5,5,1,2,4,4,2,3,9,0,3,3,7,1,5,1,3,3,3,3,13,6,2,2,6,3,2,2,7,1,3,1,7,4,1,1,4,13,12,10,4,11,9,11,19,13,25,25,2,4,2,2,3,2,1,4,0,3,2,5,0,4,9,4,3,2,6,2,1,2,4,3,1,6,1,0,5,0,5,2,0,2,0,5,2,5,2,6,1,3,4,2,2,2,3,3,1,1
R_cell_7,2,0,5,2,4,1,1,0,2,2,2,5,0,1,3,0,5,1,4,0,5,3,8,2,2,0,6,4,4,2,39,6,10,10,11,17,11,6,13,60,4,1,4,3,2,6,2,2,3,0,6,4,0,3,3,1,3,7,4,5,1,6,3,6,7,8,1,2,3,2,3,0,0,6,2,0,3,0,5,5,3,2,2,3,1,5,1,3,3,1,5,2,1,4,0,1,0,0,1,2
R_cell_8,7,1,4,1,0,0,2,0,1,0,36,13,7,12,17,9,16,10,21,9,2,5,4,6,2,2,5,10,4,3,12,2,3,1,1,2,2,1,1,4,3,3,2,0,2,3,10,4,4,2,7,3,1,0,1,1,0,4,2,6,2,0,0,6,1,3,0,3,6,3,0,2,2,5,0,4,2,1,6,3,2,2,2,4,0,1,3,2,2,5,0,2,3,1,0,2,0,2,6,2
R_cell_9,3,1,6,5,2,1,1,2,5,1,4,2,2,5,5,2,2,2,4,4,15,8,29,12,10,10,19,7,13,7,12,1,8,1,3,3,5,3,5,1,2,3,5,3,5,0,4,3,8,4,6,10,2,1,2,3,3,7,2,7,2,3,2,5,3,2,3,0,2,1,2,3,0,3,1,3,0,4,5,5,3,6,2,1,6,6,0,1,6,5,8,2,3,1,0,0,0,1,3,1
R_cell_10,3,2,2,6,0,2,0,1,1,2,1,3,4,3,7,1,3,1,3,2,12,7,21,28,11,21,50,10,16,4,9,1,2,3,4,5,1,0,1,4,7,1,1,4,4,3,9,3,5,3,3,5,1,2,1,1,1,2,1,1,3,3,2,2,6,3,1,1,3,3,0,1,1,2,2,5,1,4,1,2,12,1,4,2,1,3,5,4,1,1,4,5,2,1,1,0,5,0,5,0
